Table S2A. CSF Discovery Differential Expression by T-Test Analysis ;;;;;
       Yellow shaded proteins (n=65) were used in cluster analysis of Figure 1D.  ;;;;;
"       Abbreviations: BH, Benjamini-Hochberg; FDR, False Discovery Rate ";;;;;
;;;;;
Protein ID;Gene Symbol;Brain Module;T-Test CT vs AD;;Log2 Difference
;;;p Value;BH FDR;AD-CT
0|P01608;0;NA;0,8773;0,9632;-0,017
PRKACB|P22694-2;PRKACB;grey;0,8774;0,9632;-0,027
NLGN4X|Q8N0W4-2;NLGN4X;grey60;0,8780;0,9635;0,009
SGSH|P51688;SGSH;yellowgreen;0,8798;0,9644;0,020
SRPX|P78539;SRPX;NA;0,8807;0,9644;0,009
PDIA3|P30101;PDIA3;red;0,8809;0,9644;-0,003
PLXNB1|O43157;PLXNB1;blue;0,8810;0,9644;-0,005
NPDC1|Q5SPY9;NPDC1;grey;0,8814;0,9644;-0,013
FXYD7|K7EKU3;FXYD7;brown;0,8815;0,9644;0,009
SPINT2|O43291;SPINT2;NA;0,8815;0,9644;-0,007
GALNT15|Q8N3T1;GALNT15;NA;0,8819;0,9644;0,009
ATP5C1|P36542;ATP5C1;brown;0,8823;0,9644;0,015
C1QB|P02746;C1QB;green;0,8824;0,9644;-0,005
ATP5A1|P25705;ATP5A1;brown;0,8826;0,9644;0,015
CAPZB|B1AK88;CAPZB;brown;0,8829;0,9644;-0,006
TMEM132B|Q14DG7;TMEM132B;brown;0,8835;0,9647;0,009
SEZ6L2|A0A087WYL5;SEZ6L2;grey;0,8844;0,9648;-0,005
DDX17|Q92841;DDX17;blue;0,8845;0,9648;0,028
TMEM51|Q9NW97;TMEM51;NA;0,8849;0,9648;-0,010
EFNA3|P52797-2;EFNA3;turquoise;0,8851;0,9648;-0,010
PLXNB2|O15031;PLXNB2;darkgreen;0,8853;0,9648;-0,005
OSCAR|A0A087WV17;OSCAR;NA;0,8857;0,9648;-0,008
AOC3|Q16853;AOC3;red;0,8862;0,9648;0,009
SLC25A4|P12235;SLC25A4;turquoise;0,8863;0,9648;-0,015
MEPE|Q9NQ76;MEPE;NA;0,8872;0,9649;-0,014
SEMG1|P04279-2;SEMG1;NA;0,8873;0,9649;-0,032
PPIB|P23284;PPIB;blue;0,8877;0,9649;0,008
PEBP4|Q96S96;PEBP4;NA;0,8881;0,9649;0,014
GAS1|P54826;GAS1;NA;0,8881;0,9649;-0,007
LSAMP|Q13449;LSAMP;turquoise;0,8899;0,9661;0,006
CD320|Q9NPF0;CD320;NA;0,8899;0,9661;-0,005
SHISA2|Q6UWI4;SHISA2;NA;0,8906;0,9661;0,009
ITGB8|P26012;ITGB8;pink;0,8907;0,9661;0,007
IGHV4-39|A0A0A0MS13;IGHV4-39;midnightblue;0,8911;0,9661;0,021
LYSMD3|Q7Z3D4;LYSMD3;NA;0,8912;0,9661;0,015
SYT7|F5H126;SYT7;turquoise;0,8919;0,9663;0,013
CS|O75390;CS;turquoise;0,8920;0,9663;-0,027
ESAM|Q96AP7;ESAM;greenyellow;0,8932;0,9667;-0,005
PLOD3|O60568;PLOD3;NA;0,8934;0,9667;0,006
0|P04208;0;NA;0,8935;0,9667;-0,017
MYH8|P13535;MYH8;NA;0,8938;0,9667;-0,017
DCBLD2|Q96PD2-2;DCBLD2;NA;0,8950;0,9677;-0,004
PSMC6|A0A087X2I1;PSMC6;pink;0,8963;0,9687;0,014
ALAD|P13716;ALAD;blue;0,8969;0,9690;-0,023
OLFML2A|Q68BL7;OLFML2A;NA;0,8974;0,9692;0,007
LTA4H|P09960;LTA4H;pink;0,8977;0,9692;0,007
MMRN2|Q9H8L6;MMRN2;saddlebrown;0,8982;0,9693;-0,012
CLU|P10909-2;CLU;saddlebrown;0,8988;0,9695;-0,008
LANCL1|O43813;LANCL1;yellow;0,8994;0,9695;-0,008
GUSB|P08236;GUSB;NA;0,8997;0,9695;-0,011
PSMD9|O00233;PSMD9;saddlebrown;0,8998;0,9695;0,019
HINT1|P49773;HINT1;darkolivegreen;0,9006;0,9695;0,014
PDXK|O00764;PDXK;lightyellow;0,9007;0,9695;-0,011
APOB|P04114;APOB;midnightblue;0,9007;0,9695;-0,023
HRNR|Q86YZ3;HRNR;black;0,9014;0,9697;0,022
LRRC4B|Q9NT99;LRRC4B;turquoise;0,9016;0,9697;0,005
PGRMC1|O00264;PGRMC1;grey;0,9026;0,9699;0,003
SLC39A10|Q9ULF5;SLC39A10;turquoise;0,9030;0,9699;0,007
LRP11|Q86VZ4;LRP11;NA;0,9033;0,9699;0,006
CST6|Q15828;CST6;NA;0,9037;0,9699;-0,009
SEMA4C|Q9C0C4;SEMA4C;green;0,9044;0,9699;0,004
LAMA2|P24043;LAMA2;red;0,9049;0,9699;0,004
LNPEP|Q9UIQ6;LNPEP;darkturquoise;0,9050;0,9699;0,006
SHH|Q15465;SHH;NA;0,9051;0,9699;-0,012
GPR37|O15354;GPR37;grey;0,9052;0,9699;0,006
NDUFV2|E7EPT4;NDUFV2;brown;0,9055;0,9699;0,010
NTM|Q9P121-4;NTM;turquoise;0,9056;0,9699;0,005
ECE1|P42892;ECE1;NA;0,9058;0,9699;0,004
STX8|Q9UNK0;STX8;grey;0,9065;0,9699;-0,011
REXO2|Q9Y3B8;REXO2;grey;0,9065;0,9699;0,006
FAM107B|Q9H098-2;FAM107B;yellow;0,9068;0,9699;0,007
FAM198A|Q9UFP1;FAM198A;NA;0,9076;0,9701;-0,007
PLA2G15|Q8NCC3;PLA2G15;NA;0,9077;0,9701;0,005
CFH|P08603;CFH;midnightblue;0,9081;0,9702;-0,006
CLSTN1|O94985;CLSTN1;brown;0,9094;0,9711;0,005
FCGR3B|M9MML6;FCGR3B;NA;0,9099;0,9711;0,022
SCARF1|Q14162;SCARF1;grey;0,9100;0,9711;0,010
DDAH2|O95865;DDAH2;green;0,9107;0,9714;-0,006
RPS19|P39019;RPS19;magenta;0,9111;0,9714;-0,017
PYGM|P11217;PYGM;red;0,9113;0,9714;0,009
0|P01623;0;NA;0,9123;0,9719;-0,021
MTPN|P58546;MTPN;grey;0,9125;0,9719;-0,011
SDC2|P34741;SDC2;pink;0,9131;0,9719;0,006
CARKD|Q8IW45;CARKD;mediumpurple3;0,9133;0,9719;0,009
ATP1A1|P05023;ATP1A1;turquoise;0,9138;0,9719;-0,006
GOLM1|Q8NBJ4;GOLM1;skyblue;0,9138;0,9719;0,004
EFNB1|P98172;EFNB1;green;0,9141;0,9719;0,004
COL16A1|Q07092;COL16A1;NA;0,9144;0,9719;0,006
INSR|P06213;INSR;white;0,9149;0,9721;0,004
IGHV3-30|A0A0B4J2B7;IGHV3-30;midnightblue;0,9154;0,9722;0,020
PTTG1IP|P53801;PTTG1IP;NA;0,9159;0,9724;0,006
NFASC|O94856-9;NFASC;brown;0,9162;0,9724;-0,005
GPR37L1|O60883;GPR37L1;darkgreen;0,9167;0,9725;-0,005
S100A4|P26447;S100A4;red;0,9173;0,9728;-0,013
ACP1|P24666;ACP1;pink;0,9180;0,9731;0,009
SLC5A5|Q92911;SLC5A5;NA;0,9183;0,9731;-0,013
ENPP2|Q13822-2;ENPP2;yellow;0,9195;0,9740;-0,011
NRXN3|Q9Y4C0-4;NRXN3;turquoise;0,9211;0,9750;0,005
PLBD2|Q8NHP8;PLBD2;darkgrey;0,9212;0,9750;-0,008
RAB2A|P61019;RAB2A;turquoise;0,9221;0,9750;-0,007
TNFSF12|O43508-2;TNFSF12;NA;0,9222;0,9750;0,006
RPSA|A0A0C4DG17;RPSA;magenta;0,9224;0,9750;-0,016
STIP1|P31948-2;STIP1;darkolivegreen;0,9225;0,9750;-0,008
PRG4|Q92954-3;PRG4;NA;0,9230;0,9750;-0,014
YIPF2|K7ENZ5;YIPF2;NA;0,9234;0,9750;0,013
HEG1|Q9ULI3;HEG1;NA;0,9235;0,9750;0,005
ANXA5|P08758;ANXA5;green;0,9246;0,9758;-0,006
TNNT3|P45378;TNNT3;NA;0,9251;0,9758;0,010
IL6ST|P40189;IL6ST;midnightblue;0,9252;0,9758;0,005
MAG|P20916;MAG;yellow;0,9255;0,9758;0,004
TXNL1|O43396;TXNL1;grey;0,9274;0,9774;0,005
SUB1|P53999;SUB1;brown;0,9283;0,9779;0,019
FRZB|Q92765;FRZB;red;0,9305;0,9798;-0,005
DNASE1|P24855;DNASE1;NA;0,9307;0,9798;-0,009
FXYD1|K7EQG4;FXYD1;grey;0,9313;0,9800;0,011
ST6GAL1|P15907;ST6GAL1;NA;0,9321;0,9800;0,006
MT3|P25713;MT3;salmon;0,9324;0,9800;0,006
IL18|Q14116;IL18;NA;0,9333;0,9800;0,008
MDGA1|Q8NFP4-2;MDGA1;NA;0,9342;0,9800;-0,004
NQO2|P16083;NQO2;yellow;0,9343;0,9800;0,009
HNRNPK|P61978-2;HNRNPK;grey;0,9344;0,9800;-0,009
HSPA8|P11142;HSPA8;brown;0,9345;0,9800;0,003
TMEM119|Q4V9L6;TMEM119;yellow;0,9348;0,9800;-0,005
VCAN|P13611-2;VCAN;blue;0,9351;0,9800;-0,006
CTSV|O60911;CTSV;NA;0,9357;0,9800;-0,015
ITLN1|Q8WWA0;ITLN1;NA;0,9360;0,9800;0,009
ATP2A2|P16615;ATP2A2;turquoise;0,9361;0,9800;-0,011
ALDH9A1|P49189;ALDH9A1;green;0,9362;0,9800;0,007
B3GALNT1|O75752;B3GALNT1;NA;0,9376;0,9800;-0,005
SERPINB3|P29508;SERPINB3;NA;0,9379;0,9800;0,013
CRISPLD1|Q9H336;CRISPLD1;NA;0,9382;0,9800;-0,009
C11orf54|Q9H0W9;C11orf54;blue;0,9387;0,9800;-0,004
RBBP7|Q16576-2;RBBP7;steelblue;0,9390;0,9800;-0,008
REG3A|Q06141;REG3A;NA;0,9393;0,9800;0,010
CLEC7A|Q9BXN2;CLEC7A;NA;0,9393;0,9800;-0,005
LAP3|P28838;LAP3;blue;0,9398;0,9800;0,004
MAN2A1|Q16706;MAN2A1;NA;0,9399;0,9800;0,003
ACVR1B|P36896-4;ACVR1B;grey60;0,9399;0,9800;-0,011
CHADL|Q6NUI6;CHADL;NA;0,9401;0,9800;0,005
COL23A1|Q86Y22;COL23A1;red;0,9401;0,9800;0,004
CPXM2|Q8N436;CPXM2;NA;0,9402;0,9800;0,007
DIP2B|Q9P265;DIP2B;yellow;0,9417;0,9813;-0,012
OGFRL1|Q5TC84;OGFRL1;blue;0,9424;0,9814;-0,007
DYNLL2|Q96FJ2;DYNLL2;turquoise;0,9427;0,9814;-0,005
PKM|P14618;PKM;grey;0,9428;0,9814;-0,004
MCFD2|Q8NI22;MCFD2;sienna3;0,9440;0,9823;-0,005
AGA|P20933;AGA;NA;0,9450;0,9827;-0,004
KRT6C|P48668;KRT6C;NA;0,9451;0,9827;0,013
DMKN|Q6E0U4-2;DMKN;NA;0,9459;0,9832;0,009
EGFLAM|Q63HQ2-2;EGFLAM;NA;0,9466;0,9832;0,005
SEMA6C|Q9H3T2-3;SEMA6C;NA;0,9470;0,9832;-0,003
CD59|E9PR17;CD59;grey;0,9471;0,9832;-0,003
LTBP2|Q14767;LTBP2;red;0,9473;0,9832;0,003
LPL|P06858;LPL;NA;0,9478;0,9834;-0,004
SPTAN1|Q13813-2;SPTAN1;brown;0,9483;0,9836;0,005
CASQ1|P31415;CASQ1;NA;0,9494;0,9843;0,009
PSME1|Q06323-2;PSME1;pink;0,9503;0,9849;-0,011
CDH11|P55287;CDH11;red;0,9511;0,9850;-0,002
ITGAV|P06756;ITGAV;saddlebrown;0,9517;0,9850;0,003
LPA|P08519;LPA;NA;0,9518;0,9850;0,010
KIRREL3|Q8IZU9;KIRREL3;NA;0,9530;0,9850;0,002
JAM3|Q9BX67;JAM3;yellow;0,9531;0,9850;0,002
PTPRD|Q3KPI9;PTPRD;purple;0,9532;0,9850;-0,007
RNF130|E5RI87;RNF130;NA;0,9533;0,9850;-0,005
ICAM1|P05362;ICAM1;green;0,9534;0,9850;0,002
VSTM2A|F8W8J5;VSTM2A;grey;0,9535;0,9850;-0,005
HSPE1|P61604;HSPE1;brown;0,9541;0,9850;-0,003
CDH10|Q9Y6N8;CDH10;turquoise;0,9542;0,9850;-0,004
ACP5|P13686;ACP5;NA;0,9560;0,9859;0,003
CRYL1|Q9Y2S2;CRYL1;blue;0,9562;0,9859;-0,005
FUCA2|Q9BTY2;FUCA2;blue;0,9563;0,9859;-0,007
ACTC1|P68032;ACTC1;turquoise;0,9566;0,9859;0,005
TPPP|O94811;TPPP;darkolivegreen;0,9567;0,9859;-0,006
CDH9|Q9ULB4;CDH9;turquoise;0,9573;0,9861;-0,003
ADAMTS4|O75173;ADAMTS4;NA;0,9596;0,9881;0,002
CRIP1|P50238;CRIP1;NA;0,9600;0,9881;0,007
HCRT|O43612;HCRT;NA;0,9608;0,9886;0,003
TUFM|P49411;TUFM;turquoise;0,9615;0,9886;0,004
NTRK3|Q16288;NTRK3;turquoise;0,9618;0,9886;0,001
GSTT1|P30711;GSTT1;grey;0,9619;0,9886;-0,008
MACROD2|A1Z1Q3;MACROD2;darkmagenta;0,9621;0,9886;0,006
IGHG1|A0A087WV47;IGHG1;midnightblue;0,9629;0,9886;-0,009
NETO1|Q8TDF5;NETO1;brown;0,9632;0,9886;0,002
CHAD|O15335;CHAD;NA;0,9632;0,9886;-0,003
NRXN2|P58401;NRXN2;darkmagenta;0,9640;0,9888;0,008
HPR|P00739-2;HPR;NA;0,9641;0,9888;0,011
IMPG2|Q9BZV3;IMPG2;NA;0,9644;0,9888;-0,005
AHCYL1|O43865;AHCYL1;black;0,9647;0,9888;0,003
TMEM25|E9PKP3;TMEM25;NA;0,9653;0,9889;0,004
SEP15|A0A0B4J1S4;15/Sep;grey;0,9661;0,9889;0,002
IGFLR1|Q9H665;IGFLR1;NA;0,9664;0,9889;0,002
CYCS|P99999;CYCS;brown;0,9669;0,9889;0,005
0|P04207;0;NA;0,9676;0,9889;-0,007
PCDHA9|Q9Y5H5;PCDHA9;NA;0,9676;0,9889;0,007
ADAMTSL4|Q6UY14-3;ADAMTSL4;NA;0,9677;0,9889;-0,003
CST3|P01034;CST3;blue;0,9683;0,9889;-0,004
NPC2|P61916;NPC2;blue;0,9685;0,9889;0,001
CPXM1|Q96SM3;CPXM1;NA;0,9689;0,9889;-0,004
CTSB|E9PQM1;CTSB;magenta;0,9691;0,9889;-0,004
DHH|O43323;DHH;NA;0,9694;0,9889;0,003
ABAT|H3BRN4;ABAT;turquoise;0,9696;0,9889;-0,002
CDH22|Q9UJ99;CDH22;NA;0,9698;0,9889;0,003
LARGE|O95461;LARGE;NA;0,9702;0,9889;-0,003
CISD1|Q9NZ45;CISD1;turquoise;0,9703;0,9889;-0,004
FJX1|Q86VR8;FJX1;NA;0,9717;0,9899;0,002
SPTA1|A0A087WZE4;SPTA1;red;0,9720;0,9899;-0,008
HSPD1|P10809;HSPD1;brown;0,9748;0,9921;0,003
CNRIP1|Q96F85;CNRIP1;brown;0,9757;0,9921;-0,004
APOD|C9JF17;APOD;blue;0,9759;0,9921;-0,002
AHCY|P23526;AHCY;yellow;0,9759;0,9921;-0,004
RPL7|P18124;RPL7;steelblue;0,9764;0,9921;0,002
IL18BP|G3V1C5;IL18BP;NA;0,9765;0,9921;-0,002
RANBP1|F6WQW2;RANBP1;black;0,9765;0,9921;0,004
TIMP4|Q99727;TIMP4;NA;0,9770;0,9922;0,002
CLSTN2|Q9H4D0;CLSTN2;yellow;0,9778;0,9926;-0,002
SPTBN1|A0A087WUZ3;SPTBN1;grey;0,9788;0,9927;0,002
ERAP1|Q9NZ08-2;ERAP1;magenta;0,9790;0,9927;-0,002
CDH7|Q9ULB5;CDH7;grey;0,9791;0,9927;-0,001
PCDH7|O60245-2;PCDH7;turquoise;0,9792;0,9927;-0,002
RFNG|Q9Y644;RFNG;NA;0,9804;0,9935;-0,004
PRSS1|E7EQ64;PRSS1;plum1;0,9809;0,9935;-0,002
KRT6A|P02538;KRT6A;floralwhite;0,9811;0,9935;0,005
KPRP|Q5T749;KPRP;NA;0,9815;0,9936;0,002
MYH3|P11055;MYH3;NA;0,9822;0,9939;-0,004
GNAO1|P09471-2;GNAO1;cyan;0,9831;0,9941;-0,001
CNTN2|Q02246;CNTN2;salmon;0,9838;0,9941;0,001
IL1R2|P27930;IL1R2;NA;0,9844;0,9941;0,001
CPD|O75976;CPD;magenta;0,9849;0,9941;0,001
FBLN1|B1AHL2;FBLN1;blue;0,9850;0,9941;0,001
PFN1|P07737;PFN1;blue;0,9850;0,9941;0,001
REG1A|P05451;REG1A;NA;0,9851;0,9941;-0,003
KRT6B|P04259;KRT6B;NA;0,9851;0,9941;0,004
TPD52L2|O43399-7;TPD52L2;darkred;0,9854;0,9941;0,002
AJAP1|Q9UKB5;AJAP1;brown;0,9866;0,9947;0,001
AVP|P01185;AVP;NA;0,9868;0,9947;-0,001
ENPP6|Q6UWR7;ENPP6;yellow;0,9874;0,9950;0,001
TICAM2|Q86XR7-2;TICAM2;grey;0,9878;0,9950;0,001
KPNB1|Q14974;KPNB1;darkturquoise;0,9881;0,9950;0,002
COL1A2|P08123;COL1A2;red;0,9888;0,9954;0,000
GRIN2A|Q12879;GRIN2A;turquoise;0,9896;0,9958;-0,001
HNRNPH1|G8JLB6;HNRNPH1;mediumpurple3;0,9899;0,9958;0,001
NSG2|Q9Y328;NSG2;turquoise;0,9908;0,9963;0,001
EDA2R|Q9HAV5-2;EDA2R;NA;0,9911;0,9963;-0,001
MST1|G3XAK1;MST1;NA;0,9917;0,9966;-0,001
PTPRK|E9PGC5;PTPRK;grey;0,9925;0,9966;0,000
NELL1|Q92832-2;NELL1;NA;0,9925;0,9966;0,000
EPDR1|Q9UM22;EPDR1;red;0,9930;0,9966;0,001
SPG20|Q8N0X7;SPG20;plum1;0,9931;0,9966;-0,001
CD200|P41217-3;CD200;turquoise;0,9935;0,9966;0,001
TNFSF13B|Q9Y275;TNFSF13B;NA;0,9946;0,9973;0,001
UBE2D3|P61077-3;UBE2D3;purple;0,9962;0,9983;0,000
DSC3|Q14574;DSC3;NA;0,9962;0,9983;0,000
SEZ6|Q53EL9;SEZ6;blue;0,9971;0,9984;0,000
PGLS|O95336;PGLS;blue;0,9978;0,9984;0,000
GALNT18|Q6P9A2;GALNT18;NA;0,9978;0,9984;0,000
FAM19A5|Q7Z5A7-2;FAM19A5;NA;0,9981;0,9984;0,000
PLOD2|O00469-2;PLOD2;NA;0,9981;0,9984;0,000
C12orf49|Q9H741;C12orf49;NA;0,9984;0,9984;0,000
