Table S2A. CSF Discovery Differential Expression by T-Test Analysis ;;;;;
       Yellow shaded proteins (n=65) were used in cluster analysis of Figure 1D.  ;;;;;
"       Abbreviations: BH, Benjamini-Hochberg; FDR, False Discovery Rate ";;;;;
;;;;;
Protein ID;Gene Symbol;Brain Module;T-Test CT vs AD;;Log2 Difference
;;;p Value;BH FDR;AD-CT
HIST1H1E|P10412;HIST1H1E;grey;1,2E-02;1,2E-01;-0,250
CDH20|Q9HBT6;CDH20;blue;1,2E-02;1,2E-01;0,119
IGBP1|P78318;IGBP1;brown;1,2E-02;1,2E-01;0,265
CXorf36|Q9H7Y0;CXorf36;NA;1,2E-02;1,3E-01;-0,252
NIF3L1|Q9GZT8-3;NIF3L1;salmon;1,3E-02;1,3E-01;0,196
NT5DC1|Q5TFE4;NT5DC1;yellow;1,3E-02;1,3E-01;0,160
SNCG|O76070;SNCG;turquoise;1,3E-02;1,3E-01;0,199
NEFM|P07197;NEFM;yellow;1,3E-02;1,3E-01;0,427
ST6GALNAC1|Q9NSC7;ST6GALNAC1;NA;1,3E-02;1,3E-01;-0,163
COL6A3|P12111;COL6A3;red;1,3E-02;1,3E-01;-0,073
CPN2|P22792;CPN2;NA;1,3E-02;1,3E-01;-0,332
BOC|Q9BWV1-3;BOC;NA;1,3E-02;1,3E-01;-0,237
PPIL1|Q9Y3C6;PPIL1;magenta;1,3E-02;1,3E-01;0,201
CLEC3B|P05452;CLEC3B;red;1,4E-02;1,3E-01;-0,124
WFDC1|Q9HC57;WFDC1;NA;1,4E-02;1,3E-01;-0,161
CYB5B|J3KNF8;CYB5B;grey;1,4E-02;1,4E-01;0,314
0|H0YC42;0;NA;1,4E-02;1,4E-01;0,295
NIF3L1|Q9GZT8;NIF3L1;salmon;1,4E-02;1,4E-01;0,153
S100A11|P31949;S100A11;saddlebrown;1,4E-02;1,4E-01;-0,153
APOC1|P02654;APOC1;blue;1,4E-02;1,4E-01;-0,343
IGFBP6|F8VYK9;IGFBP6;plum1;1,4E-02;1,4E-01;-0,108
OSTN|P61366;OSTN;NA;1,4E-02;1,4E-01;-0,294
BST1|A6NC48;BST1;NA;1,4E-02;1,4E-01;-0,169
NUDC|Q9Y266;NUDC;darkorange;1,5E-02;1,4E-01;0,122
RBP4|P02753;RBP4;blue;1,5E-02;1,4E-01;-0,189
MMP2|P08253;MMP2;NA;1,5E-02;1,4E-01;-0,137
DNAJA1|P31689;DNAJA1;darkolivegreen;1,5E-02;1,4E-01;0,154
TIE1|P35590;TIE1;lightcyan;1,5E-02;1,4E-01;-0,104
SPON1|Q9HCB6;SPON1;lightgreen;1,5E-02;1,4E-01;0,105
CD84|Q9UIB8;CD84;NA;1,5E-02;1,4E-01;0,109
TGFBR1|P36897-2;TGFBR1;grey;1,5E-02;1,4E-01;0,141
EIF3J|O75822;EIF3J;lightcyan1;1,5E-02;1,4E-01;0,163
UBQLN2|Q9UHD9;UBQLN2;floralwhite;1,5E-02;1,4E-01;0,133
LDLR|H0YMD1;LDLR;NA;1,6E-02;1,4E-01;-0,101
TMSB4X|P62328;TMSB4X;NA;1,6E-02;1,4E-01;0,162
OAF|Q86UD1;OAF;NA;1,6E-02;1,4E-01;-0,194
MFAP4|K7ES70;MFAP4;NA;1,6E-02;1,4E-01;-0,269
PROS1|P07225;PROS1;NA;1,6E-02;1,4E-01;-0,141
PROC|P04070-2;PROC;NA;1,6E-02;1,4E-01;-0,208
